use_ID,ite_ID,buy
856185,1885428,1
482155,1885428,1
1574549,1256926,1
471026,1256926,1
1978207,1256926,1
953061,812889,1
932027,812889,1
1097386,812889,1
815220,812889,1
731881,1244124,1
1791582,1019691,1
5571,2285130,1
1187214,2285130,1
1231254,2285130,1
1632594,2285130,1
350350,2285130,1
1493715,2285130,1
678394,1875463,1
1204004,1960687,1
1899664,1586041,1
1362465,1973958,1
251535,1474173,1
2031084,670159,1
1483662,670159,1
1419655,670159,1
687870,670159,1
1540652,670159,1
203737,670159,1
693531,670159,1
364589,670159,1
1904241,670159,1
1439324,670159,1
1505541,670159,1
428422,670159,1
447432,670159,1
205462,670159,1
1837480,670159,1
597287,670159,1
454287,670159,1
1854753,754334,1
1865347,754334,1
175551,714438,1
746697,419070,1
1521824,419070,1
508037,419070,1
182406,2331336,1
503670,2279035,1
421103,2279035,1
2048732,1900482,1
1539827,2336302,1
1172837,1096484,1
1938464,84808,1
367258,392854,1
71783,1709862,1
1970323,1709862,1
632339,1709862,1
972101,1709862,1
1402381,1709862,1
1633552,1709862,1
1825578,1709862,1
1862370,1709862,1
678240,1709862,1
163806,1188941,1
260950,68694,1
507840,68694,1
662971,1310048,1
1302334,1259647,1
208852,1259647,1
719521,1259647,1
1755981,1259647,1
1167939,1259647,1
1900628,1259647,1
945012,1259647,1
2014357,1259647,1
1928374,1259647,1
1234035,1259647,1
1047519,1259647,1
1175143,1259647,1
399577,342937,1
1911732,497374,1
975052,2291874,1
558003,2291874,1
946878,2291874,1
1600714,2291874,1
1294884,2291874,1
309802,2291874,1
1120364,2291874,1
1943230,123647,1
423635,2351281,1
1420087,921310,1
858573,921310,1
893267,633181,1
1702868,660105,1
1061815,1212456,1
1435940,831264,1
2023575,831264,1
1497499,831264,1
1569891,831264,1
52871,2173585,1
162852,851579,1
631098,851579,1
1035946,851579,1
877183,851579,1
2048732,851579,1
2046975,851579,1
753125,851579,1
1277673,851579,1
1489866,851579,1
1888698,851579,1
923390,851579,1
914288,851579,1
1702375,851579,1
1340955,851579,1
677195,851579,1
1440855,851579,1
1336851,851579,1
1909725,851579,1
1997927,851579,1
212653,851579,1
1805150,851579,1
1427357,851579,1
247338,851579,1
465363,851579,1
952563,1689541,1
181039,1205299,1
1397722,1205299,1
1850485,1205299,1
112859,1205299,1
1130740,1205299,1
1188017,1205299,1
1858492,1205299,1
1212979,1205299,1
1920767,1205299,1
580029,1205299,1
1002217,1205299,1
1215547,1205299,1
2012834,1205299,1
766368,1205299,1
1318356,1205299,1
1874636,1205299,1
180469,1205299,1
85184,1205299,1
596188,1205299,1
1964778,1205299,1
110999,1205299,1
264539,1205299,1
1563671,1205299,1
940462,1205299,1
448943,1205299,1
78112,1205299,1
1528849,1205299,1
280419,1205299,1
1890640,1205299,1
552625,1205299,1
81750,1205299,1
266481,1205299,1
1032237,1205299,1
1545972,1205299,1
1485995,1205299,1
1847471,1205299,1
1263808,1205299,1
1534725,1205299,1
1046812,1205299,1
1236062,1205299,1
421149,1205299,1
1679638,1205299,1
1195965,1205299,1
1526512,1205299,1
1003477,1205299,1
231752,1729122,1
1109304,1729122,1
1126364,596518,1
1041746,1376283,1
70835,1376283,1
1324032,417749,1
211006,417749,1
290306,417749,1
1778049,281789,1
915066,1554641,1
1365862,82539,1
2024651,82539,1
1585857,82539,1
452326,82539,1
961813,82539,1
472351,82539,1
1293264,82539,1
720891,82539,1
324690,82539,1
1006428,82539,1
1986413,82539,1
2011030,82539,1
1092220,82539,1
830201,82539,1
810394,82539,1
799702,82539,1
462183,82539,1
1294139,82539,1
283704,82539,1
