player,suggest_1,sugges_score_1,suggest_2,sugges_score_2,suggest_3,sugges_score_3
alkkkpvo,zgyddrwd,193.10328,bbzrkjpg,183.07486,bqwywgmy,112.68259
alkknkqo,zgvldojv,97.56182,azbaqqml,97.03991,wqddllrv,95.03207
alkkpnmd,wojjyyrl,70.88889,qnjjvrlo,68.7295,wojjlqdq,68.19274
alkkyrmz,koaajzgz,157.73808,pjnmgdak,93.83013,kpzowkno,92.88772
alkpqqpv,koaagbaz,82.25202,dlkkbbwz,79.83646,rqppzowl,79.73433
aoarkrqb,mlzqlkrw,105.10493,aoarzvqy,97.37339,ojaknokp,94.70815
aoarzvqy,pryjgvrw,196.9453,azbaqqml,194.07982,zqzykabw,189.11072
aoavzopr,blkkwadv,155.97596,bqwywgmy,112.68259,nrjqygay,103.06457
aodzkymz,vpbnqynq,99.88259,wvyqylzp,99.05773,krlpdjjw,96.01331
aoknpkgn,aoavzopr,101.95451,dpqmvmno,99.05196,kravkzjv,98.89356
aongqbva,vpbnqynq,99.88259,zqzjoqgo,99.65415,azbaqqml,97.03991
aovkndwb,wvpjmvyn,95.94332,gnogrrgg,95.86368,gnogwlky,95.0446
aovpjply,wvpjmvyn,95.94332,gnogrrgg,95.86368,gnogwlky,95.0446
aovpjrad,nrbkylnj,187.53542,dpdgmzmo,187.22214,pjowzngv,97.77668
aowlbonj,rrzqvrdo,97.47348,qzbonqno,94.83013,zgbbngyd,93.49374
aowrpbzb,nrwvvngb,102.43498,prwmorwl,99.49614,dpqmvmno,99.05196
avdlbjllo,zmopbpqvb,177.482,vnygzgbg,100.01704,dvaqlpbg,98.58307
avdlbqyyb,vnygzgbg,100.01704,rbvzzgva,98.33363,zgvldojv,97.56182
avdmpmmaq,dpqmvmno,198.10392,bbvmwqln,99.24759,dpqrzvyr,98.79731
azbadvdz,zgpwqgja,98.12363,dvaqjqbv,96.32017,vnygznmg,96.20601
azbadykb,bbzrkjpg,183.07486,pjgrlygm,173.62956,vpgoddzj,99.37711
azbaqqml,mbaaopdm,729.5148,blkkwadv,701.89182,zgvldojv,585.37092
azbbgpmq,rzwozjay,110.91929,azormlbb,92.12754,kpdrqgrk,88.53113
azbbojrd,zgbpglky,194,oqjzrbnv,179.46258,vnygzgbg,100.01704
azbwbllm,vpgoddzj,99.37711,zqljdvmp,99.26816,dvaqlpbg,98.58307
azbwkgky,vpgoddzj,99.37711,zqljdvmp,99.26816,dvaqlpbg,98.58307
azbwoyor,pjowzngv,97.77668,rbvzqjvw,97.62412,kpnmwdvw,97.23229
azbwqajm,pjowzngv,97.77668,rbvzqjvw,97.62412,kpnmwdvw,97.23229
azbwqvqy,rbvzmlov,291,zgvzwzmm,192.7713,jbvgmplv,189.31502
azjoqmpa,zgyddrwd,289.65492,zgpppalp,285.20343,oqjzrbnv,269.19387
azllkwak,zgvldojv,195.12364,rbvzzgva,98.33363,wqrbmono,97.53906
azlllgon,bqwywgmy,112.68259,pwykgdrq,109.04169,yoyonqnr,106.31284
azlnkgjj,jbozaybb,92.17682,azormlbb,92.12754,zgqjravo,92.10172
azlnmzwq,nnpqdokz,95.55622,dvjlporz,95.36951,bbnpmqam,94.90149
azlnqwkv,azojmzgj,266.03433,ygzzazdq,184.52896,azormlbb,184.25508
azlnyynr,gqanpbjk,94.20266,bbzrkjpg,91.53743,gqldlvvd,91.44581
azmlgokg,vnygrlyr,97.23605,rbaqzknw,93.38048,wqddqqym,93.18281
azmlwvgl,lmyomann,109.21202,zgpwqgja,98.12363,gqrbgqlz,95.27897
azmmdkmj,pwykgqbg,108.08349,jmqmodky,107.67136,kmljappy,107.41651
azmmgndw,mmppbjoq,187.10852,kpzowkno,92.88772,rbaaqrgk,90.93778
azmmgyaq,oqmmnqwo,174.96916,dvjjrvqn,94.32713,dvprvqor,92.86726
azmmymrn,wqrbmono,97.53906,pjowgdgg,95.0547,wqddllrv,95.03207
azobanwr,jbawvlnn,94.48756,nnyjdqzn,91.85988,mmbnkrbn,91.15571
azojgqrz,vnygrlyr,97.23605,rbaqzknw,93.38048,wqddqqym,93.18281
azojgroo,azorkkqd,93.39906,kprykbrq,93.04677,azormlbb,92.12754
azojkkam,qznmkkjb,94.39641,qzpzqkzq,93.60423,zgpnpvjy,93.51659
azojmzgj,oqjzrbnv,1076.77548,bbzrkjpg,1006.91173,azormlbb,737.02032
azorkkqd,bbzrkjpg,549.22458,azormlbb,460.6377,oqjzrbnv,448.65645
azormlbb,oqjzrbnv,1076.77548,bbzrkjpg,823.83687,azojmzgj,709.42488
azyoqdpn,azyqnzlr,180.22066,oqjzrbnv,179.46258,kpdrqgrk,177.06226
azyqnzlr,kpdrqgrk,442.65565,bbyzamap,345.47408,oqjzrbnv,269.19387
bbldanjy,zgawlyqg,167.05946,rbvzmlov,97,nnpqdokz,95.55622
bblgmdym,oqjzrbnv,269.19387,pjrbbdmr,241.67583,qzqnwboz,184.51814
bbnllygv,dvaqjqbv,192.64034,dvjlporz,190.73902,oqjzrbnv,179.46258
bbnnbadp,dvaqjqbv,96.32017,dvjlnaad,93.15962,dvjjaddg,92.62242
